"2","6","8","11","14","16","17","23","25","27"
"2",44,0,0,2,0,0,0,3,2,0
"6",0,38,5,0,0,0,1,0,0,2
"8",0,4,30,0,1,0,0,4,0,0
"11",2,0,0,47,0,0,0,0,0,0
"14",0,0,6,0,37,0,0,0,0,0
"16",1,0,0,0,0,32,11,0,0,1
"17",0,0,1,0,1,6,37,3,0,1
"23",0,0,3,0,1,0,0,41,0,2
"25",1,1,0,0,0,1,1,0,54,0
"27",0,0,0,0,0,2,3,0,0,39
